Id,Sentiment,Comment
107,negative,ga pantes panggil ustadorg munafik ceramah org laku sndr aja menzolimi istri sah nya dgn poligami diam2kacian istri pertamanyaga tw malu istri hadeh klo yg msh manggil bwt ceramah nama bodo
108,negative,biadab klo anak lo bully gue mampusin ya
109,negative,dasar anjing tuh cowok org berani cowok one by one yg lemah dasar yah cowok2 jaman skrg casing doank cowok nyali nya lebih2 banci
110,negative,username iya kasi si micin usah produk micin iklan kalo masak tambah micin biar sedap netizen sudut mecin bodoh orang yg ganggu jiwa ngemil micin justiceformicin
111,negative,wahh jngn2 vidio lamakok baju norak bngtt ayuuterlihat murahaan
112,negative,username bego lo ya
113,negative,edit banget ya ampun si mommy lambe habis gosib ya si pelakor
114,negative,yah admin nya golong konsumsi mecin pil pcc otak lu rusak min
115,negative,org govlok yg prcya ayu slgkuh sma rafibuktinya rafi sma gigi skrg baek2 ajadan ktamu ayu pelakor suami yg d rebut woyy skrg ayu suami fikir pke otak mkanya jgn kbanyakan micin jdi govlok
116,negative,username hoy baris sakit hati  jijikk banget fans billy mah alhamdulillah bgt billy putus manusiaa buluk ituu yg tunggu lama2 akhiry putus kobil jg jijik ni orang v
117,negative,mba  username gak ngerasa cinlok babang anthony ketemu mana sih set boy alah ngaku ajaaa mba dumang cinlok sok2 bilang gak cinlok nama bodoh  wajar netizen bilang ratu cinlok nyata emang ya marah  resiko artis hahahhaa pinter2 ya mba cari alas hahahahaha
118,negative,username noh urus tu kuin lu biar ga gatel nempel2 ama laki orng masyarakat udh tau kali japok gundik janda gateludh nyata nya begtu anak sholehah agama nya kuat mata kuliah agama cma dpt 1katanya agama nya kuat tpi hamil
119,negative,username bilang tu kuin lu gesek grepe ama lakik orng ga malu udh hamil nikah kegatelan janda
120,negative,username please lo bela pelakorini hukum si muljem karna uda tega recut suami sahabat sendiridia jalan sanksi sosial valakor mesti benci karna biar ga valakor indonesiabiar musnah sem
121,negative,najis muakk jijik pelakor jijik
122,negative,moga pelakor2 kena karma moga karma yg tinggal istri yg bwrjuang dg dr nol tp sukses selingkuh sok jd kuasa istri ya
123,negative,sedih ya skrg ngamen kawin org  mantan istri mahhhh pesawat jet  bhay pelakor n botakbego
124,negative,username heeehh lo pelakornya yaaaakkk ngapa lo emosi situuu kenal gw kalo berani pake akun asli pantes pake akun bodong ngerebut laki orang diem2  ceplos yak pake bodong ngakak gueeee  lucu lo
125,negative,wkwkwkwk udh gak laku jd nyanyi dhajatan si lonte pelakor
126,negative,username wakakak cerita kyk gituu ajar aja jgn sampe ni swamik swamik milih pelakor drpd istri hancuuurr bookk ga bohong deh kere kismin nyungsep emang yg ngatur rezeki tu tuha
127,negative,cwenya yg bego cwonya yg pinter ya  emg laki kaya  macho gitu plus nya  kaya jago gombal  maennya gesit  ulala ngakakabis
128,negative,username yg bodoh ngapain keluarga depok komen org yg gak aja yg hidup gak bahagia yg suka hujat orang hidup artis ayu pengaruh emang dasar benci ayuklo
129,negative,username mah lihat yg main prasangka kayak eluelu haters kayak dukundukun titis dajjal  sok pinter otak kosong sorry ye gue bala nabi muhammad yg percaya klo udh ditunjukkin 4 saksi bukti klo
130,negative,mata ku sepet baca koment fans ubul empang minggir woy bikin rusuh aja nih jaer amis jijik sumpahsoal enji sm cewek ttp aja bala jaer nyampah bikin ribut
131,negative,sih si enji hart kah  males banget jijik laki model mah gak tanggung jwbnya ayu bunting tinggalin anak gak akuin skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yg enji kangen anak najonggg jijik betoll dah deh min gak bahas laki hart aja gak panutan yg ambil  username
132,negative,username bego nya pede ngomong yg bilang bener bukti aja kaga liat pinter jatohnya bego
133,negative,bilang enji ganteng bebas slingkuh bego kali ganteng pala lu bau menyan gada ganteng ganteng nya banyak gaya kek mantan bini depok nya
134,negative,sebenarnye cocok enji att gateeeel hahah pantesan si tongtong temu dgn enji udh hukum alam klw jodoh cermin si entong hrsnya bekaca dgn biar sadar tp teryata otak 1 m tetep tahan jd skrg mlh guatelnye aja kek enji hah
135,negative,username oalaahhh aja pelakor  laki nya jg kegatelan tp nama laki kucing ksh ikan jaer gratis ya kga nolak wkwkkwkw
136,negative,laki2 ya sis suka pecun2 murah prempuan baik2 jilbab ato pintar enji2 downgrade sih dangdut kelas prempuan jilbab ehh milih pecun jelek selera
137,negative,motorninja aj songong mba org yg mobil lamborgini aj wae
138,negative,goblok  gua nonton kali kaget
139,negative,ga usa pake anjing babi  kalo gw bls gitu wkwk
140,negative,oh kemaren harga karya orang bilang jelek banget aduh penganten perempuan nya kenyang yah ampe kembung gitu perut nya pepuralugu
141,negative,percaya gimik raffi gigi dn attsehingga att serta keluarga hujad dn anak nydi hujad kesini tonton bodohin publik yg kasihan penghujad ga ayu ga pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
142,negative,kalo bener gimmick bodoh banget si ayu rating n popularitas berani taruhin harga nilai buruk mata masyarakat
143,negative,susah otak diemvang mah bikin rusuh lapak orang
144,negative,najiiisss kayak si mba dese ga gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk
145,negative,username iyak kaa hahahahah geli bgt gasih att ih kampung abis
146,negative,joget bikin ngakakkk anjirrrr kampung banget  username  username
147,negative,bagus la gue otak gak kayak lu malu maluin mak lu aja tong akun asli pake tu yg nama bego  username
148,negative,yg bego mah elu sih yg ngasih contoh buruk anak  pake mata lo emg dugem bawa anak  bego sih -- jaman udah texas  gue jamin jam anak jga udh texas  selagi ga ngerugiin lo yaudah  sewot banget
149,negative,si wanita jahiliyah lesbi  skrg udh py pacar lg kasi anak kmrn ksh bencana slnya tega misahin anak dr nya ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anak peluk islam udh ksh nikmat anak 3 org msh aja begajulan
150,negative,username gw emang kador artis beneran komen lo tolol sumpah kenal nilai artis hahaha org indo jg tuju kalo kador artis tp celebgram dr kampung lo tau beda artis dg selebgra
151,negative,username hahahaaaa trs gue lo tolol pake nanya kador bencong ngga blm kenal wkwkwkwkw eh org jg nilai si kador bencong beneran dr gerak gerik melambay suara ngondek pake baju cewek nyaman cowok tu
152,negative,username maklumin shaaay fans gatis keras otak bebel realita jg ga terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamadpdhl yg jadiin si mamad gede y ph n
153,negative,username bee idih najong lu tag2 org nimbrung aja kek mujaer lo ga kenal klo ga bawa2 nama ayu ting ting sm nagita duh bego piara kesi
154,negative,langsung bilang yg maksud klu gin nama munafik
155,negative,jedar emg muka 2 kali depan belakang busuk mulut kek banci cucoklah 2 banci tu
156,negative,amit amit deh orang jahat jilat bohong pelakor jijik banget
157,negative,wkwkwkwk ya allah ya tuhan ku knp org2 munafik ni tp sok suci mulan jamela ayu ting2 ngikuti jejak a wkwkwk  username
158,negative,dlu si pelakor yg sombong krn brhasil dapetin si botak smpe mnceraikan bunda mayaskrg hdp ny mkin anjlok bunda maya yg sring jelong2 kluarnegri
159,negative,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
160,negative,wlina2706 hemmmm capekmiskin sist skrg blik kere lg jd artis jg g laku dah karma tu  username dr sirik nyinyirin nyonya tuh bantuin jual cireng nya tuh cilok nya tuh untun libur monaco bromo trus
161,negative,kepo sm nyonyiah lu jongos  username emng tetehlu pas hamil peak udeh dinikahin  brojol anak br sirih emng lonteeeee kelas akun jamahliur junjung hehe
162,negative,eh jongos cba gue duluan yg nanya sm lu  emng nyonyiah gembar gembor udah nikah ada nyonyiah ngaku udeh nikah  dr tetehlu yg lonte perek brojol ngaku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji haha lonte tolak lupa xixix   username
163,negative,username gua currr ya bunmai sdh nikah tp janda janda suami nya rampas mulan jameelamenjijikkan banget ya mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang dan suami aduha udh wanita be
164,negative,wlina2706  username lucu aja ya sist lonte bela2 mati2an guoblok pelihara bayar gt muljamban sampe bikin account  username maia nikah blm nikah urus situ nyinyir sirik nya
165,negative,yaela muljem kyak stu bner aja gag inget udh ngrusak kbhagian klwrga org bego d prtahanin y gin
166,negative,lakik doyan banci banci  kawinin banci jijik
167,negative,username comment yg lihat brp guna medsos yg bodoh bunyi situ sehat pakai hijab mas nyinyir aja
168,negative,username malu tuh kerudung sayang ibadah nya sholat aja drpd nyinyirin org dandan udh sok suci mulut nya kaya sampah
169,negative,username tolong baca arti dr comment udah kerdusbodoh lg bilangin org tua nya besok kalo masak pakai mecin jd udah kerdungab ga sesuai mulut besok makan salmon kalo g besok deliv rumah
170,negative,maaf muka jelek attitude nya burukspesialis plagiatdan tau
171,negative,orang otak ga sekolahin ya resiko udah upload sosmed ya dapet bincang netizen public figure ga otak
172,negative,artis kampung wkwk
173,negative,iyaaa gue pacar udah nikah gak norak eloo gak risih emang jgn aplod perhatiin followers lu yg lumayan tar bawa norak
174,negative,y ampun pnyanyi dangdut tenar songong bangt bacot pngn nyari sensasi kmpungan bangt deh amit amit bool ko d instastory
175,negative,waaaaoooosopan bahasami kelas  heeeehh yg repot ama hidup lu siapahh  elu live nampilin hal2 gak pentingyg nggilanikk menjijikkandiliat org ya pantes dikomenklo gak mw dikomen videoin pribadi aja nonton lu ama kluarga lu rmh nambah niy ertong yg gak pny attutude kampung
176,negative,norak sihkayak ga malunyakl bilang serah diaya udahsimpan fotonyagak bagi semua orang pamer kemanaresikolah nyinyir oranginsecure bangetkudu ya pamer2 gitu biar orang ngerti kl si mbak udh py pacar yg dipamer2 pantatnyakampung bgt
177,negative,koq marah sehhhdasar wanita kampung
178,negative,kampung artis yg numpang tenar gara2 muka katy perry doang
179,negative,susah kalo artis kampung
180,negative,ah min gue lama2 gak suka akun nih berita nya basi lo liat min si kellen amora dateng pake jingkrak2 lo saring min biar berita nya gak blunder lo posting tu kd udah posting videon kellen ma amora joget2 ma si arsya arsyi
181,negative,username iyakm bening lewat bening buluk ya mbak  mbak nelen apasih komen kaya gin surup
182,negative,keluarga ngefans kagum lihat  username nya dehtapi lihat anak nya yg jelekbuluk  username hermansyah  username kutuk yg timpa bunda kd untung allah swt ganti amora adik nyagemezzzzzzz lihat nya cocok banget anak artis class bunda kd
183,negative,emang dasar si anak nya aja yg lebayurusan pribadi umbarbiar blow up hadehhgunanya whatsapp sms or telp apasuka aneh
184,negative,coba liat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo
185,negative,gagal fokus dengar suara koq jengkel ya dengernya sorry cuman manusia kalo jengkel
186,negative,muljem ngomong gak blepot gak nyadar idup enak aja pake rebut laki orang
187,negative,lucu ya si yg bikin kata2bawa2 tuhankalau dah pepet ga tau org yg rusak rumah tangga orgibarat roboh bangun masjid mbak nyabayangin aja nya dosa munasi dah jdi bubur mba nya moga bahagia dunia
188,negative,iyah bener rubah pandang tuhan elu setan mikirrrr suami majikan embat
189,negative,giling mulan jalang lg kasih ceramah hahahaha  dasar cireng gak tau gak ngaca si cireng lg ceramah sok2 kyk pahlawan siang biar teman ama ter kyk selpii
190,negative,ya pandang tuhan lo jelek sih gue rebut suami orang tuh mulia mata tuhan
191,negative,karna sejati kau setan wujud manusia karna kerja setan ya goda manusia
192,negative,ngga mba  username baca netizen yg nyesel ga bs nimpuk telor si mulangw aja ketawa baca krn wakil ya ngapain buang2 wktu ketemu orang gak mutu dng si mulanmsh untung nyempet2in bs nuli biar nyadar tuh pelakor ga harga mending ketemu org baik2 spt bunmaiketularan aura positif
193,negative,editanx paraaaahhoplas aj laaah nyai drpd ngedit2 gn hahaa kn maluuu
194,negative,jeleklecekbantet
195,negative,gin ken tenar ya ampuuunmalu kalo anak yah kasi
196,negative,heran gw mak  username knp aja pake ma anv pesbur ny bederet skandal bertubi2 gk malu ny  muka tembok  gak faedah ny nonton acara yg si manusia kardus
197,negative,wey org goblok bedain vape shisha sm rokok lo ngerokok pake acara ga ngaku
198,negative,jijik liatnyakaya ulet bulu kluget2 gituhihihiampe sgitunya ken kenal
199,negative,jablay anjir muka murah bangetttt najisss
200,negative,username alycia iya sist jijik banget gw liat sok suci ngatain orang kalo gw sih malu artis papan otak gak fikir kalo ngomong tau bngt gada wibawa kalo emang nyadar tau komentar manusia gada yg
201,positive,sabar yaa insya allah buka pintu syurga halang api neraka orang tua
202,positive,lagu baru mbak tata kisah rumah tangga mbak tata mbak tata bener2 sayang get suami syukur baik moga awet
203,positive,yg komen si mbak ga sedih ketawa2 ya iya klo dah sakit sm pasang smpe berlarut2 ngapain sih sedih ampe depresi serahin sm allah ajabawa happy aja mski sakit si mba senyum2 wajah tp hati tau senyum bs jd menetralisir kondisi hati yg lg puruk pepatah bilang  klo bahagia jgn trllu bahagia klo sedih jgn trllu sedih imbang aja biar ga gila
204,positive,suka banget pasang moga gigi raffi keluarga sakinnah mawaddah warrahmah moga pihak2 pisah jodoh maut pisah amiin
205,positive,jemima anak angkat celine eleeya anak hubung celine dirly haru tau jemima anak panti asuh rawat wajar stefen pilih celine karna hati
206,positive,lucu yg blg stefan menghabiskn muda wkwkumurnya mah gak muda muka aja yg baby face bersyukurbonus celinenya dlu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo yg tnggung jwabnya
207,positive,yg bawa2 keenan  raisa udah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin jd gue raisa hamish sama2 untung pasang suami istri ga tuh gagal move on  so congratz raisa hamish moga nikah sakinah mawadah warahmah
208,positive,raisa cantik yaaa artis ga tonjol kalo nikah tuh mewah udah cantik sederhana sempurna bgt
209,positive,karna orang syudah cantik ga dandan heboh utk buat cantik makeup simple gitu aja pesona bikin hamish klepek2
210,positive,bagus cari ilmu mana suami orang didik
211,positive,sukak cewe cantik kmauan blajarnya
212,positive,yaampun artis bener bener good attitude layak panutan aja kuliah negri tp karna bakti suami  pilih kuliah wilayah suami  salut banget
213,positive,semangat batman  username va support karna manusia salah   tolong bahas pliis karna udah 2
214,positive,username y udh salam knl y mbk neng knl sm mbk sbagai manusia ingetiny sbagai manusia hrs tau jgn sombong yg digedein mentang2 dah jd artis hahay udh mbk cabut ja y dri komen d foto ni nnt jd korban dy sel
215,positive,keren yaaa sederhana pancar sukak sm keluarga presiden
216,positive,presiden embel gelar  bangga
217,positive,proud of you indonesia god bless indonesia
218,positive,amazing bngt miss national costume kereenn bangga ama budaya indonesia
219,positive,bangga pasti
220,positive,proud of you kak dea patut bangga
221,positive,suka bgt sm pidatox dy pembawaanx bgtu elegan n brwibawah pntas mmg dy mdptkansalut
222,positive,percaya kak nik orang jujur semangat kak nik hebat
223,positive,username m mba gua jg ga benci nikmir salut ama ga muna artis maaf image aja dpan sok sok aniaya n jual air mata nikita real sygnya msyarakat cendrung yg yg superfisial
224,positive,cantik alami bedak tebel gaya bak tante2
225,positive,cantik gagah mudah lancar dampe h
226,positive,cantik dongpenampilannya dewasa sesuai muka cantik indonesiaclassy ayu ayu gimana gitu
227,positive,lcb cantikk lcb untung dapet duren duren beuntung dpt neng lcb sakina mawaddah warahmah amin
228,positive,ganteng seragam ganteng panutan keluarga moga anak milik fisik elok mahluk allah ni
229,positive,untung banget deh mba  username dapet mas  username gantengbaiksholehsayang keluargaini suami idam bangetsemoga keluarga samawa
230,positive,smoga mas agus pimpin datangsalah pimpin yg sukses sukses dlm pimpin dlm rumah tangga
